dose_E,dose_X,live,rep,live_normalized
1.0,1.0,42.0,19/06/2023,0.4421052631578947
0.0,2.0,43.0,19/06/2023,0.45263157894736844
0.01,2.0,41.0,19/06/2023,0.43157894736842106
0.05,2.0,35.0,19/06/2023,0.3684210526315789
0.1,2.0,32.0,19/06/2023,0.3368421052631579
0.5,2.0,31.0,19/06/2023,0.3263157894736842
1.0,2.0,31.0,19/06/2023,0.3263157894736842
0.0,3.0,28.0,19/06/2023,0.29473684210526313
0.01,3.0,28.0,19/06/2023,0.29473684210526313
0.05,3.0,25.0,19/06/2023,0.2631578947368421
0.1,3.0,25.0,19/06/2023,0.2631578947368421
0.5,3.0,23.0,19/06/2023,0.24210526315789474
1.0,3.0,21.0,19/06/2023,0.22105263157894736
0.0,5.0,20.0,19/06/2023,0.21052631578947367
0.01,5.0,14.0,19/06/2023,0.14736842105263157
0.05,5.0,12.0,19/06/2023,0.12631578947368421
0.1,5.0,11.0,19/06/2023,0.11578947368421053
0.5,5.0,9.0,19/06/2023,0.09473684210526316
1.0,5.0,7.0,19/06/2023,0.07368421052631578
